端,所属模块,一级菜单,二级菜单,Tab,页面路径,基准文档路径,文档类型,备注
PC,1.工作中心,审批中心,客户需求审批,客户采购需求,工作中心 / 审批中心 / 客户需求审批 / 客户采购需求,B端PC/01-工作中心/01-审批中心/04-客户需求审批/06-客户采购需求/,README,
PC,1.工作中心,审批中心,其他审批,政策资讯审核,工作中心 / 审批中心 / 其他审批 / 政策资讯审核,B端PC/01-工作中心/01-审批中心/05-其他审批/01-政策资讯审核/,README,
PC,1.工作中心,审批中心,其他审批,开锁审核,工作中心 / 审批中心 / 其他审批 / 开锁审核,B端PC/01-工作中心/01-审批中心/05-其他审批/03-开锁审核/,README,6.2 完整规格见 B-迭代需求/07-审批中心
PC,1.工作中心,审批中心,其他审批,贷中风控处理,工作中心 / 审批中心 / 其他审批 / 贷中风控处理,B端PC/01-工作中心/01-审批中心/05-其他审批/02-贷中风控处理/,README,
PC,2.仓储,设备管理,监控设备,-,仓储 / 设备管理 / 监控设备,B端PC/02-仓储/17-设备管理-监控设备/,主PRD+字段清单+规则规格,
PC,2.仓储,设备管理,门禁设备,-,仓储 / 设备管理 / 门禁设备,B端PC/02-仓储/18-设备管理-门禁设备/,主PRD+字段清单+规则规格,含获取门锁密码
PC,2.仓储,设备管理,物联设备,-,仓储 / 设备管理 / 物联设备,B端PC/02-仓储/19-设备管理-物联设备/,主PRD+字段清单+规则规格,
PC,2.仓储,设备管理,GPS设备,-,仓储 / 设备管理 / GPS设备,B端PC/02-仓储/20-设备管理-GPS设备/,主PRD+字段清单+规则规格,
PC,2.仓储,设备管理,门禁事务记录,-,仓储 / 设备管理 / 门禁事务记录,B端PC/02-仓储/21-设备管理-门禁事务记录/,主PRD+字段清单+规则规格,
PC,2.仓储,设备管理,人脸配置,-,仓储 / 设备管理 / 人脸配置,B端PC/02-仓储/22-设备管理-人脸配置/,主PRD+字段清单+规则规格,
PC,2.仓储,加工管理,加工记录,-,仓储 / 加工管理 / 加工记录,B端PC/02-仓储/14-加工管理-加工记录/,主PRD+功能清单,
PC,3.融资/监管,融资管理,客户融资需求线索,-,融资/监管 / 融资管理 / 客户融资需求线索,B端PC/03-融资监管/01-融资管理-客户融资需求线索/,主PRD+字段清单+规则规格,
PC,3.融资/监管,融资管理,客户融资尽调办理,-,融资/监管 / 融资管理 / 客户融资尽调办理,B端PC/03-融资监管/02-融资管理-客户融资尽调办理/,主PRD,
PC,3.融资/监管,融资管理,客户融资授信办理,-,融资/监管 / 融资管理 / 客户融资授信办理,B端PC/03-融资监管/03-融资管理-客户融资授信办理/,主PRD+字段清单,
PC,3.融资/监管,融资管理,融资结果/线上抵质押办理,-,融资/监管 / 融资管理 / 融资结果/线上抵质押办理,B端PC/03-融资监管/04-融资管理-融资结果-线上抵质押办理/,主PRD+字段清单+规则规格,
PC,3.融资/监管,融资管理,被拒退回记录池,-,融资/监管 / 融资管理 / 被拒退回记录池,B端PC/03-融资监管/05-融资管理-被拒退回池/,主PRD+功能清单,
PC,5.风控,风险信息,设备预警信息,-,风控 / 风险信息 / 设备预警信息,B端PC/05-风控/05-风险信息-设备预警信息/,主PRD+字段清单+规则规格,标杆模板
PC,5.风控,风险信息,押品预警信息,-,风控 / 风险信息 / 押品预警信息,B端PC/05-风控/06-风险信息-押品预警信息/,主PRD+字段清单+规则规格,标杆模板
PC,5.风控,风险信息,设备事务通知信息,-,风控 / 风险信息 / 设备事务通知信息,B端PC/05-风控/07-风险信息-设备事务通知信息/,主PRD+字段清单+规则规格,
PC,5.风控,风险信息,贷中风控管理,-,风控 / 风险信息 / 贷中风控管理,B端PC/05-风控/08-风险信息-贷中风控管理/,主PRD+字段清单+规则规格,
PC,5.风控,风险信息,风险公示,-,风控 / 风险信息 / 风险公示,B端PC/05-风控/09-风险信息-风险公示/,主PRD+字段清单+规则规格,
PC,8.配置管理,仓库管理,仓库管理,-,配置管理 / 仓库管理 / 仓库管理,B端PC/08-配置管理/10-仓库管理-仓库管理/,主PRD,
PC,8.配置管理,货品规格管理,大类管理,-,配置管理 / 货品规格管理 / 大类管理,B端PC/08-配置管理/12-货品规格管理-大类管理/,主PRD+字段清单+规则规格,
PC,8.配置管理,货品规格管理,品类管理,-,配置管理 / 货品规格管理 / 品类管理,B端PC/08-配置管理/13-货品规格管理-品类管理/,主PRD+字段清单+规则规格,
PC,8.配置管理,货品规格管理,货品管理,-,配置管理 / 货品规格管理 / 货品管理,B端PC/08-配置管理/14-货品规格管理-货品管理/,主PRD+字段清单+规则规格,
PC,8.配置管理,风险管理,订单预警配置,-,配置管理 / 风险管理 / 订单预警配置,B端PC/08-配置管理/19-风险管理-订单预警配置/,主PRD+字段清单+规则规格,
PC,8.配置管理,风险管理,设备预警配置,-,配置管理 / 风险管理 / 设备预警配置,B端PC/08-配置管理/20-风险管理-设备预警配置/,主PRD+字段清单+规则规格,
PC,8.配置管理,风险管理,设备事务通知配置,-,配置管理 / 风险管理 / 设备事务通知配置,B端PC/08-配置管理/21-风险管理-设备事务通知配置/,主PRD+字段清单+规则规格,
PC,8.配置管理,业务流程管理,开锁审批,-,配置管理 / 业务流程管理 / 开锁审批,B端PC/08-配置管理/22-业务流程管理-开锁审批/,Demo+ASCII,6.2 完整规格见 B-迭代需求/06-门禁开锁审批
移动,2.工作台,仓储,存货管理,-,工作台 / 仓储 / 存货管理,B端H5/02-工作台/01-仓储/01-存货管理/,README,
移动,2.工作台,仓储,监控设备,-,工作台 / 仓储 / 设备管理（监控设备）,B端H5/02-工作台/01-仓储/12-设备管理-监控设备/,README,
移动,2.工作台,仓储,门禁设备,-,工作台 / 仓储 / 设备管理（门禁设备）,B端H5/02-工作台/01-仓储/14-设备管理-门禁设备/,README,
移动,2.工作台,融资/监管,抵质押订单,-,工作台 / 融资/监管 / 抵质押订单,B端H5/02-工作台/02-融资监管/01-抵质押订单/,README,
移动,2.工作台,风控,设备预警信息,-,工作台 / 风控 / 设备预警信息,B端H5/02-工作台/04-风控/01-设备预警信息/,README,
移动,2.工作台,风控,押品预警信息,-,工作台 / 风控 / 押品预警信息,B端H5/02-工作台/04-风控/02-押品预警信息/,README,
移动,3.业务办理,内部审批,待处理,-,业务办理 / 内部审批 / 待处理,B端H5/03-业务办理/01-内部审批/01-待处理/,README,
移动,3.业务办理,其他审批,开锁审批,-,业务办理 / 其他审批 / 开锁审批,B端H5/03-业务办理/04-其他审批/02-开锁审批/,README,6.2 完整规格见 B-迭代需求
PC,8.配置管理,风险管理,预警等级,-,配置管理 / 风险管理 / 预警等级,B-迭代需求/6.2版本（2026.08）/03-预警配置/01预警等级/,主PRD+字段清单+规则规格,6.2 完整规格见 B-迭代需求/03-预警配置
移动,3.业务办理,客户需求审批,客户入库预约,-,业务办理 / 客户需求审批 / 客户入库预约,B端H5/03-业务办理/03-客户需求审批/01-客户入库预约/,README,替代原客户入库需求
移动,3.业务办理,客户需求审批,客户出库预约,-,业务办理 / 客户需求审批 / 客户出库预约,B端H5/03-业务办理/03-客户需求审批/02-客户出库预约/,README,替代原客户出库需求
移动,3.业务办理,业务发起,加工发起,-,业务办理 / 业务发起 / 加工发起,B端H5/03-业务办理/02-业务发起/09-加工发起/,README,对齐 mobileMenuData biz-init-processing-apply
