序号,移动/PC端,使用端,所属模块,一级菜单,二级菜单,二级子功能菜单/Tab,原路径,功能说明,功能按钮/权限分类,数据权限描述,备注说明,创建时间,修定时间,,,,,,,,,,,,,,,
,PC,机构端,,,,客户融资需求,审批～客户融资需求,审核客户提交的融资线索与尽调申请，核对底层资产合规性与资信状况，流转至授信放款环节。,查看页面、详情、驳回（操作权限+数据状态为未分配可用）、分配/再次分配、审核记录,"·有融资申请审核权限的账号可看到所有融资申请信息
·根据登录账号针对具体任务的操作权限决定；",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,,融资尽调,,审核客户提交的融资线索与尽调申请，核对底层资产合规性与资信状况，流转至授信放款环节。,,,仅作为联登智风控入口，联登成功后跳转到智风控平台任务列表页面,2026年5月12日,,,,,,,,,,,,,,,,
,PC,机构端,,,,客户销售需求,审批～客户销售需求,集中处理全系统各类业务单据（入库、出库、移库、盘点、质押）的在线审批流，支持多级会签、驳回与权限拦截。,查看页面、详情、处理、审核记录,"·有菜单权限的账号可看到所有线索；
·登录账号的操作权限决定操作权限，且 去处理 按钮还需要根据线索审核状态为已处理则不允许再次处理",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,,客户采购需求,审批～客户采购需求,集中处理全系统各类业务单据（入库、出库、移库、盘点、质押）的在线审批流，支持多级会签、驳回与权限拦截。,查看页面、详情、处理、审核记录,"·有菜单权限的账号可看到所有采购需求申请；
·登录账号的操作权限决定操作权限，且 去处理 按钮还需要根据采购需求申请审核状态为已处理则不允许再次处理",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,其他审批,政策资讯审核,审批～政策资讯审核,集中处理全系统各类业务单据（入库、出库、移库、盘点、质押）的在线审批流，支持多级会签、驳回与权限拦截。,查看页面、详情、处理、审核记录,"·有菜单权限的账号可看到所有线索；
·登录账号的操作权限决定操作权限，且 去处理 按钮还需要根据资讯审核状态为已处理则不允许再次处理",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,,贷中风控处理,,集中处理全系统各类业务单据（入库、出库、移库、盘点、质押）的在线审批流，支持多级会签、驳回与权限拦截。,,,仅作为联登智风控入口，联登成功后跳转到智风控平台任务列表页面,2026年5月12日,,,,,,,,,,,,,,,,
,PC,机构端,,数据一览,客户总数,客户数,项目管理～监管档案货主列表,系统级全局数据驾驶舱，实时监控业务量、资产分布、敞口比例及异常指标。,查看页面、详情,仓库权限,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,,仓库,项目管理～监管档案～仓库,系统级全局数据驾驶舱，实时监控业务量、资产分布、敞口比例及异常指标。,查看页面、详情、待提货、新增入库、新增出库、新增移库、货物转让、仓单开立、抵押单开立、质押单开立,仓库权限,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,,货物,项目管理～监管档案～货物,系统级全局数据驾驶舱，实时监控业务量、资产分布、敞口比例及异常指标。,查看页面、详情、待提货、新增入库、新增出库、新增移库、货物转让、仓单开立、抵押单开立、质押单开立,仓库权限,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,,仓单管理,项目管理～监管档案～仓单管理,系统级全局数据驾驶舱，实时监控业务量、资产分布、敞口比例及异常指标。,查看页面、详情、仓单出库、仓单开立、变更记录、仓单补货、仓单移库、仓单移除、仓单注销,仓库权限,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,,抵押单管理,项目管理～监管档案～抵押单管理,系统级全局数据驾驶舱，实时监控业务量、资产分布、敞口比例及异常指标。,查看页面、详情、操作记录、货物出库、抵押单开立、部分解抵押、查看资料、查看风险、结算管理、置换抵押、加/补仓、解抵押、货物估值、货物盘点、盘点报告、移库、查看监控、平仓、查看风险、设备管理、贷款结果录入、监管报告、部分结清,订单数据权限,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,,质押单管理,项目管理～监管档案～质押单管理,系统级全局数据驾驶舱，实时监控业务量、资产分布、敞口比例及异常指标。,查看页面、详情、操作记录、货物出库、质押单开立、部分解质押、查看资料、查看风险、结算管理、置换质押、加/补仓、解质押、货物估值、货物盘点、盘点报告、移库、查看监控、平仓、查看风险、设备管理、贷款结果录入、监管报告、部分结清,订单数据权限,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,,设备预警管理,项目管理～监管档案～设备预警管理,系统级全局数据驾驶舱，实时监控业务量、资产分布、敞口比例及异常指标。,查看页面、详情,仓库权限,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,,订单预警管理,项目管理～监管档案～订单预警管理,系统级全局数据驾驶舱，实时监控业务量、资产分布、敞口比例及异常指标。,查看页面、详情,订单数据权限,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,,记录管理,项目管理～监管档案～记录管理,系统级全局数据驾驶舱，实时监控业务量、资产分布、敞口比例及异常指标。,查看页面、详情,仓库权限,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,数据报表,-,工作台（上部分）,提供多维度、可视化的业务统计报表，穿透展现全盘监管资产价值、货位利用率及预警情况，辅助高层决策。,此处仅限制是否可见该功能板块,,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,外链平台（新）,-,-,-,快捷跳转至其他链接地址,查看页面,账号所在的机构,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,数据走势图,-,-,工作台（下部们）,对接外部大宗商品现货与期货价格，实时呈现质押物市价变动，为盯市估值（Mark-to-Market）提供数据支撑。,此处仅限制是否可见该功能板块,,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,2.仓储,库存查询,存货管理,-,货物管理～存货管理,构建数字孪生底座，实物分布，实现账实相符的底层物理监控。,查看页面、存货详情、批量导出,"1、可见数据为账号上赋予的仓库权限决定；
2、货品价格为登录账号归属机构设置的单价；",优化展示数据,2026年3月10日,2026年4月14日,,,,,,,,,,,,,,,
,PC,机构端,,,理货堆放,-,-,构建数字孪生底座，实物分布，实现账实相符的底层物理监控。,查看页面、详情、理货堆放、拆分,仓库权限,,2026年4月14日,2026年4月14日,,,,,,,,,,,,,,,
,PC,机构端,,,库存明细,-,-,提供精确到库区、库位及SKU级别的底层实物台账查询，实时比对账面数字与实物分布。,查看页面、详情,仓库权限,,2026年4月14日,2026年4月14日,,,,,,,,,,,,,,,
,PC,机构端,,,库存流水,-,-,记录并追溯特定货物或库位的所有历史进出变动轨迹，形成不可篡改的实物追踪台账。,查看页面、详情,仓库权限,,,,,,,,,,,,,,,,,,
,PC,机构端,,仓单管理,-,-,仓单管理～仓单管理,连接实物与金融的桥梁。将物理入库明细打包生成不可篡改的数字仓单，记录仓单质押、转让、注销的全生命周期与物权流转。,查看页面、详情、仓单开立、下载（列表下载及变更记录中的下载）、货物移除、变更记录、仓单补货、仓单出库、仓单移库、仓单注销,"1、开立申请可选仓库为账号权限内的仓库；
2、可见数据为账号上赋予的仓库权限决定；",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,货权管理,货权档案,-,货权管理～货权档案,建立每批货物的权属身份档案，归集采购合同、发票等确权凭证，确立货物初始所有权。,查看页面、详情、移交档案、确认结束、批量移交,"可见数据根据当前登录账号的角色的 仓库 权限决定；
档案移交人员的列表为当前子机构下的所有人员清单
(只展示同级机构，上一级机构和下一级机构都无法展示)",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,货权公示,-, 货权管理～货权公示,将货权与质押状态对接入外部动产融资统一登记系统或区块链节点进行公示，增强权利的对抗效力。,查看页面、生成系统货权牌、生成中仓登货权牌、中登网登记、公示页面,可见数据根据当前登录账号的角色的 仓库 权限决定；,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,证据管理,-,货权管理～证据管理,连接实物与金融的桥梁。将物理入库明细打包生成不可篡改的数字仓单，记录仓单质押、转让、注销的全生命周期与物权流转。,查看页面、存证报告、原文件、货物详情、导出,可见数据根据当前登录账号的角色的 仓库 权限决定；,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,入库管理,入库申请,-,货物管理～入库申请,管控资产入场全流程。结合物联网设备（地磅/摄像头）进行收货校验，确认货物落位后将其属性由“社会物流”转为“监管资产”。,查看页面、详情、新增入库、 撤销入库、操作记录,可见数据根据当前登录账号的角色的 仓库 权限决定；,0504：取消入库申请菜单,2026年3月10日,2026年4月14日,,,,,,,,,,,,,,,
,PC,机构端,,,入库记录,-,货物管理～入库记录,管控资产入场全流程。结合物联网设备（地磅/摄像头）进行收货校验，确认货物落位后将其属性由“社会物流”转为“监管资产”。,查看页面、详情、编辑、分配二维码、下载记录、单据下载、新增入库,可见数据根据当前登录账号的角色的 仓库 权限决定；,0504：入库申请入口修改、详情页面优化,2026年3月10日,2026年4月14日,,,,,,,,,,,,,,,
,PC,机构端,,出库管理,出库申请,-,货物管理～出库申请,执行“先解押、后发货”的硬控逻辑。联动AI防窜货监控，验证提货人身份，在装车出场后实时冲减数字仓单与底层账务。,查看页面、详情、新增出库、撤销出库、操作记录,可见数据根据当前登录账号的角色的 仓库 权限决定；,0504：取消出库申请菜单,2026年3月10日,2026年4月14日,,,,,,,,,,,,,,,
,PC,机构端,,,出库记录,-,货物管理～出库记录,执行“先解押、后发货”的硬控逻辑。联动AI防窜货监控，验证提货人身份，在装车出场后实时冲减数字仓单与底层账务。,查看页面、详情、下载记录、单据下载、新增出库、新增出库,可见数据根据当前登录账号的角色的 仓库 权限决定；,0504：出库申请入口修改、详情页面优化,2026年3月10日,2026年4月14日,,,,,,,,,,,,,,,
,PC,机构端,,移库管理,移库申请,-,货物管理～移库申请,管理库区内的货位变更作业。通过事前授权与轨迹监控防范“调包/偷换”风险，移位完成后实时更新货品的空间坐标及质押绑定状态。,查看详情、详情、新增移库、撤销移库、操作记录,可见数据根据当前登录账号的角色的 仓库 权限决定；,0504：取消移库申请菜单,2026年3月10日,2026年4月14日,,,,,,,,,,,,,,,
,PC,机构端,,,移库记录,-,货物管理～移库记录,管理库区内的货位变更作业。通过事前授权与轨迹监控防范“调包/偷换”风险，移位完成后实时更新货品的空间坐标及质押绑定状态。,查看页面、详情、下载记录、单据下载、新增移库、撤销移库、操作记录,可见数据根据当前登录账号的角色的 仓库 权限决定；,0504：移库申请入口修改、详情页面优化,2026年3月10日,2026年4月14日,,,,,,,,,,,,,,,
,PC,机构端,,货物转让,转让申请,-,货物管理～转让申请,提供支持供应链金融业务运转的基础配置或操作入口。,查看页面、详情、新增转让、撤销转让,可见数据根据当前登录账号的角色的 仓库 权限决定；,0504：取消转让申请菜单,2026年3月10日,2026年4月14日,,,,,,,,,,,,,,,
,PC,机构端,,,转让记录,-,货物管理～转让记录,提供支持业务运转的操作入口。,查看页面、详情、新增转让、撤销转让,可见数据根据当前登录账号的角色的 仓库 权限决定；,0504：转让申请入口修改、详情页面优化,2026年3月10日,2026年4月14日,,,,,,,,,,,,,,,
,PC,机构端,,货物异动,异动申请,-,-,管理库区内的货物数量变更作业。,查看页面、详情、新增异动、撤销异动、操作记录,可见数据根据当前登录账号的角色的 仓库 权限决定；,0504：取消移动申请菜单,2026年3月10日,2026年4月14日,,,,,,,,,,,,,,,
,PC,机构端,,,异动记录,-,-,管理库区内的货物数量变更作业。,查看页面、详情、新增异动、撤销异动、操作记录,可见数据根据当前登录账号的角色的 仓库 权限决定；,0504：异动申请入口修改、详情页面优化,2026年3月10日,2026年4月14日,,,,,,,,,,,,,,,
,PC,机构端,,提货单,-,-,货物管理～提货单,执行“先解押、后发货”的硬控逻辑。联动AI防窜货监控，验证提货人身份。,查看页面、详情、取消提货、重置提货码、提货码核销、操作记录、确认提货,可见数据根据当前登录账号的角色的 仓库 权限决定；,,2026年3月10日,2026年5月7日,,,,,,,,,,,,,,,
,PC,机构端,,货物盘点,-,-,货物管理～货物盘点,支持按总量概盘或按明细盲盘。联动现场进行实地查验，生成电子盘点报告。,查看页面、详情、生成报告、生成记录、异常处理、新增盘点、撤销盘点,"1.可见数据根据当前登录账号的角色的【仓库】权限决定；
2.解除异常根据配置的权限决定",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,设备管理,监控设备,-,设备管理～监控设备,统一管理前端物联网硬件基建，配置设备参数及电子围栏边界，配置设备参数及电子围栏边界，保障底层数据采集通道顺畅。,查看页面、重命名、仓库绑定、查看直播、查看回放、图像锚点、移除设备,根据仓库权限决定可看数据，未绑定具体位置的设备所有登录账号可见,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,门禁设备,-,设备管理～门禁设备,统一管理前端物联网硬件基建，配置设备参数及电子围栏边界，配置设备参数及电子围栏边界，保障底层数据采集通道顺畅。,查看页面、重命名、仓库绑定、设备数据、获取密码、移除设备、人脸管理,根据仓库权限决定可看数据，未绑定具体位置的设备所有登录账号可见,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,物联设备,-,设备管理～物联设备,统一管理前端物联网硬件基建，配置设备参数及电子围栏边界，配置设备参数及电子围栏边界，保障底层数据采集通道顺畅。,查看页面、重命名、仓库绑定、设备数据、移除设备,根据仓库权限决定可看数据，未绑定具体位置的设备所有登录账号可见,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,GPS设备,-,设备管理～GPS设备,统一管理前端物联网硬件基建，配置设备参数及电子围栏边界，配置设备参数及电子围栏边界，保障底层数据采集通道顺畅。,查看页面、重命名、仓库绑定、实时定位、运动轨迹、移除设备、GPS平台规则配置、GPS平台基础数据,根据仓库权限决定可看数据，未绑定具体位置的设备所有登录账号可见,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,门禁事务记录,-,设备管理～门禁事务记录,统一管理前端物联网硬件基建，配置设备参数及电子围栏边界，配置设备参数及电子围栏边界，保障底层数据采集通道顺畅。,查看页面,根据仓库权限决定可看数据，未绑定具体位置的设备事务记录所有登录账号可见,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,人脸配置,,设备管理～人脸配置,统一管理前端物联网硬件基建，配置设备参数及电子围栏边界，配置设备参数及电子围栏边界，保障底层数据采集通道顺畅。,查看(页面)、上传人脸、分配门禁,"1.分配门禁用：仓库权限可见
2.人员列表：机构数据权限",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,合同管理,仓储合同管理,-,合同管理～合同列表,集中管理仓储协议、融资合同、监管协议等法律文本，关联对应业务单据，夯实动产融资业务的法律合规底座。,查看页面、合同下载、下载记录,"1、合同创建人账号归属机构为该份合同的归属机构；
2、C端产生的合同挂靠顶级机构；
3、登录账号有对应数据权限可查看权限内数据；",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,3.融资/监管,融资管理,客户融资需求线索,-,"审批～监管委托受理
原审批～客户融资需求",承接金融端授信业务。建立线上质押合同台账，处理质押物的动态质押登记、最低价值核算及解押释放，形成完整的信贷闭环控制。,查看页面、详情、驳回（操作权限+数据状态为未分配可用）、分配/再次分配、审核记录,"·有融资申请审核权限的账号可看到所有融资申请信息
·根据登录账号针对具体任务的操作权限决定；","原审批～客户融资需求
1.门户端的C端用户发起的融资信息
2.平台方：融资客户线索分配给资方",2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,客户融资尽调办理,-,,承接金融端授信业务。建立线上质押合同台账，处理质押物的动态质押登记、最低价值核算及解押释放，形成完整的信贷闭环控制。,查看页面、查看详情、拒绝、分配、发起尽调、客户尽调记录,"1、可见数据根据当前登录账号角色的数据权限决定；
2、分配时可选机构为登录账号归属机构上配置的合作机构 + 本机构所有启用的人员账号；",客户尽调记录仅作为联登智风控入口，联登成功后跳转到智风控平台运营统计列表页面,2026年5月11日,,,,,,,,,,,,,,,,
,PC,机构端,,,客户融资需求分配,-,需求管理～监管委托需求,承接金融端授信业务。建立线上质押合同台账，处理质押物的动态质押登记、最低价值核算及解押释放，形成完整的信贷闭环控制。,查看(页面)、详情、驳回（操作权限+数据状态为未分配可用）、分配/再次分配、审核记录,"1、可见数据根据当前登录账号角色的数据权限决定；
2、分配时可选机构为登录账号归属机构上配置的合作机构 + 本机构所有启用的人员账号；",原：需求管理～监管委托需求：用于银行内部管理与分配。（注：不能有发起抵质押申请的按钮【抵质押信息确认】）,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,融资结果/线上抵质押办理,-,需求管理～监管委托需求,承接金融端授信业务。建立线上质押合同台账，处理质押物的动态质押登记、最低价值核算及解押释放，形成完整的信贷闭环控制。,查看(页面)、详情、分配、状态管理、20250627修改发起抵/质押、抵/质押信息确认、20250702新增：导出为Excel,"1、可见数据根据当前登录账号角色的数据权限决定；
2、分配时可选机构为登录账号归属机构上配置的合作机构 + 本机构所有启用的人员账号；",同上页面路径，只有状态为申请成功的单据，操作中只有【抵质押信息确认】按钮,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,抵质押业务,抵质押业务办理,-,项目管理～抵质押监管订单-抵押信息确认/质押信息确认（（只有开立页面）,承接金融端授信业务。建立线上质押合同台账，处理质押物的动态质押登记、最低价值核算及解押释放，形成完整的信贷闭环控制。,,,"页面优化
发起抵押或质押申请
原项目管理～抵质押监管订单
（原开立按钮，调整为页面填写）",2026年3月10日,2026年4月14日,,,,,,,,,,,,,,,
,PC,机构端,,,抵质押业务管理,-,项目管理～抵质押监管订单（无开立按钮）,承接金融端授信业务。建立线上质押合同台账，处理质押物的动态质押登记、最低价值核算及解押释放，形成完整的信贷闭环控制。,"抵质押订单：查看(页面)、导出为excel、结算管理、
更多操作-质物置换、加/补仓、提货、解抵/质押、货物估值、货物盘点、盘点报告、移库、查看监控、平仓、设备管理、查看详情（查看抵质押详情）、部分结清、监管报告、监管报告-查看详情、监管报告-查看报告、监管报告-下载报告、监管报告-生成盘点监管报告、
资料管理、资料上传、查看风险--公示风险/批量公示风险（已处理数据下才展示）、风险公示
(更多操作对应权限内的操作按钮还需根据订单关联的总流程内是否配置对应子流程决定最终是否展示，包含 质物置换、加/补仓、提货、解抵/质押、货物估值、移库、平仓）

监管订单：
查看（页面）、导出为excel、操作记录、查看资料（修改为资料管理）、资料上传、结算管理
更多操作-加/补仓、提货、解监管、平仓、货物盘点、盘点报告、查看监控、查看风险、设备管理（更多操作对应权限内的操作按钮还需根据订单关联的总流程内是否配置对应子流程决定最终是否展示，包含 加/补仓、提货、解监管、货物估值、平仓）、查看详情（查看抵质押详情）、监管报告、监管报告-查看详情、监管报告-查看报告、监管报告-下载报告、监管报告-生成盘点监管报告
","数据权限：根据当前登录账号的角色的数据权限决定【任务发起人及任务处理人可看到相关信息，其他无关人员需要有对应数据所属机构的数据权限才能看到】；

盘点 - 盘点人只能盘点自己有仓库权限的货物
当针对没有仓库权限的货物点击扫码盘点

操作记录 - 能看到这笔抵/质押单，就能看到这笔抵/质押单的全部操作记录",,2026年3月10日,,,,,,,,,,,,,,,,
,,,,监管业务,供应链监管业务,-,项目管理～供应链监管订单,承接金融端授信业务。建立线上质押合同台账，处理质押物的动态质押登记、最低价值核算及解押释放，形成完整的信贷闭环控制。,"监管订单：
查看（页面）、导出为excel、操作记录、查看资料、结算管理
更多操作-加/补仓、提货、解监管、平仓、货物盘点、盘点报告、查看监控、查看风险、设备管理（更多操作对应权限内的操作按钮还需根据订单关联的总流程内是否配置对应子流程决定最终是否展示，包含 加/补仓、提货、解监管、货物估值、平仓）、20280804新增 查看详情（查看抵质押详情）、20250801新增03-2版本内容：监管报告、监管报告-查看详情、监管报告-查看报告、监管报告-下载报告、监管报告-生成盘点监管报告","数据权限：根据当前登录账号的角色的数据权限决定【任务发起人及任务处理人可看到相关信息，其他无关人员需要有对应数据所属机构的数据权限才能看到】；

盘点 - 盘点人只能盘点自己有仓库权限的货物
当针对没有仓库权限的货物点击扫码盘点

操作记录 - 能看到这笔抵/质押单，就能看到这笔抵/质押单的全部操作记录",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,合同管理,融资合同管理,-,合同管理～合同列表（复用页面）,集中管理仓储协议、融资合同、监管协议等法律文本，关联对应业务单据，夯实动产融资业务的法律合规底座。,查看(页面)、下载、下载记录,"1、合同创建人账号归属机构为该份合同的归属机构；
2、C端产生的合同挂靠顶级机构；
3、登录账号有对应数据权限可查看权限内数据；",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,货权管理,货权档案,-,和仓储板块的相同，完全一致（复用页面）,建立每批货物的权属身份档案，归集采购合同、发票等确权凭证，确立货物初始所有权。,查看页面、详情、移交档案、确认结束、批量移交,"可见数据根据当前登录账号的角色的 仓库 权限决定；
档案移交人员的列表为当前子机构下的所有人员清单
(只展示同级机构，上一级机构和下一级机构都无法展示)",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,货权公示,-,,将货权与质押状态对接入外部动产融资统一登记系统或区块链节点进行公示，增强权利的对抗效力。,查看页面、生成系统货权牌、生成中仓登货权牌、中登网登记、公示页面,可见数据根据当前登录账号的角色的 仓库 权限决定；,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,证据管理,-,,连接实物与金融的桥梁。将物理入库明细打包生成不可篡改的数字仓单，记录仓单质押、转让、注销的全生命周期与物权流转。,查看页面、存证报告、原文件、货物详情、导出,可见数据根据当前登录账号的角色的 仓库 权限决定；,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,4.交易,采购管理,采购需求管理,-,需求管理～采购需求管理,记录及审核产业链上下游的大宗现货买卖需求与合同流转，辅助风控中心核实验证交易背景的真实性。,查看页面、详情、下架,"1、所有数据挂靠顶级机构；
2、登录账号有对应机构的数据权限可看；",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,销售管理,销售需求管理,-,需求管理～销售需求管理,记录及审核产业链上下游的大宗现货买卖需求与合同流转，辅助风控中心核实验证交易背景的真实性。,查看页面、详情、线索下架、线索跟进,"1、所有数据挂靠顶级机构；
2、登录账号有对应机构的数据权限可看；",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,合同管理,销售合同管理,-,合同管理～合同列表（复用页面）,集中管理仓储协议、融资合同、监管协议等法律文本，关联对应业务单据，夯实动产融资业务的法律合规底座。,查看(页面)、下载、下载记录,"1、合同创建人账号归属机构为该份合同的归属机构；
2、C端产生的合同挂靠顶级机构；
3、登录账号有对应数据权限可查看权限内数据；",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,客户管理,-,,"客户管理～客户列表
（负责交易数据的客户）",客户信息查看,查看页面、详情、导出为Excel,"1、挂靠顶级机构；
2、有功能权限可看；",,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,5.风控,风控中心,设备中心（新增）,-,-,统一管理前端物联网硬件基建（AI摄像头、地磅、雷达、温湿度计），配置设备参数及电子围栏边界，保障底层数据采集通道顺畅。,查看页面,仓库权限,计划中,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,总机构风控管理看板,-,总机构报表看板～风控管理看板,平台主动式安全防御中枢。多维侦测设备断线、押品跌价、违规作业等异动事件，并将风险分级推送到责任人进行排查。,查看页面,所有机构权限，所有仓库权限,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,机构风控管理看板,-,机构报表看板～风控管理看板,平台主动式安全防御中枢。多维侦测设备断线、押品跌价、违规作业等异动事件，并将风险分级推送到责任人进行排查。,查看页面,根据账号机构权限展示订单预警数据，根据仓库权限展示设备预警数据,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,总机构数字仓库看板,,"总机构报表看板～数字仓库看板
（合并链接分享记录功能）",平台主动式安全防御中枢。多维侦测设备断线、押品跌价、违规作业等异动事件，并将风险分级推送到责任人进行排查。,查看页面、分享,所有仓库权限,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,机构数字仓库看板,,"机构报表看板～数字仓库看板
（合并链接分享记录功能）",平台主动式安全防御中枢。多维侦测设备断线、押品跌价、违规作业等异动事件，并将风险分级推送到责任人进行排查。,查看页面、分享,根据仓库权限展示设备，抵质押单信息；,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,风险信息,设备预警信息,-,风险管理～设备预警管理,统一管理前端物联网硬件基建（AI摄像头、温湿度计），配置设备参数及电子围栏边界，保障底层数据采集通道顺畅。,查看页面、详情、去处理（操作权限+预警状态为未处理）,"仓库权限
登录账号仓库权限（未绑定具体位置的设备所有账号可见） 数据权限内的数据；",,2026年3月10日,2026年5月28日,,,,,,,,,,,,,,,
,PC,机构端,,,押品预警信息,-,风险管理～订单预警管理,预警规则引擎配置及告警处理。针对价格跌穿警戒线、库存积压超期、非授权位移等异常行为，触发毫秒级系统告警与自动熔断。,查看页面、详情、去查看、公示风险、批量公示风险（已处理数据下才展示）,"订单数据权限
登录账号数据权限内的数据（可见订单则可见订单相关的预警消息）",,2026年3月10日,2026年5月28日,,,,,,,,,,,,,,,
,PC,机构端,,,设备事务通知信息,-,风险管理～设备事务通知管理,统一管理前端物联网硬件基建（AI摄像头、温湿度计），配置设备参数及电子围栏边界，保障底层数据采集通道顺畅。,查看(页面)、去处理,根据仓库权限决定可看数据，未绑定具体位置的设备事务记录所有登录账号可见,,2026年3月10日,2026年5月28日,,,,,,,,,,,,,,,
